School,Year,Level,Size
Bluefield Family of Schools,Bluefield High,2011,Grade 3,0
Bluefield Family of Schools,Bluefield High,2011,Grade 4,0
Bluefield Family of Schools,Bluefield High,2011,Grade 5,0
Bluefield Family of Schools,Bluefield High,2011,Grade 6,0
Bluefield Family of Schools,Bluefield High,2011,Grade 7,0
Bluefield Family of Schools,Bluefield High,2011,Grade 8,0
Bluefield Family of Schools,Bluefield High,2011,Grade 9,0
Bluefield Family of Schools,Bluefield High,2011,Grade 10,282
Bluefield Family of Schools,Bluefield High,2011,Grade 11,243
Bluefield Family of Schools,Bluefield High,2011,Grade 12,248
Bluefield Family of Schools,Bluefield High,2012,K,0
Bluefield Family of Schools,Bluefield High,2012,Grade 1,0
Bluefield Family of Schools,Bluefield High,2012,Grade 2,0
Bluefield Family of Schools,Bluefield High,2012,Grade 3,0
Bluefield Family of Schools,Bluefield High,2012,Grade 4,0
Bluefield Family of Schools,Bluefield High,2012,Grade 5,0
Bluefield Family of Schools,Bluefield High,2012,Grade 6,0
Bluefield Family of Schools,Bluefield High,2012,Grade 7,0
Bluefield Family of Schools,Bluefield High,2012,Grade 8,0
Bluefield Family of Schools,Bluefield High,2012,Grade 9,0
Bluefield Family of Schools,Bluefield High,2012,Grade 10,263
Bluefield Family of Schools,Bluefield High,2012,Grade 11,272
Bluefield Family of Schools,Bluefield High,2012,Grade 12,239
Bluefield Family of Schools,Bluefield High,2013,K,0
Bluefield Family of Schools,Bluefield High,2013,Grade 1,0
Bluefield Family of Schools,Bluefield High,2013,Grade 2,0
Bluefield Family of Schools,Bluefield High,2013,Grade 3,0
Bluefield Family of Schools,Bluefield High,2013,Grade 4,0
Bluefield Family of Schools,Bluefield High,2013,Grade 5,0
Bluefield Family of Schools,Bluefield High,2013,Grade 6,0
Bluefield Family of Schools,Bluefield High,2013,Grade 7,0
Bluefield Family of Schools,Bluefield High,2013,Grade 8,0
Bluefield Family of Schools,Bluefield High,2013,Grade 9,0
Bluefield Family of Schools,Bluefield High,2013,Grade 10,256
Bluefield Family of Schools,Bluefield High,2013,Grade 11,264
Bluefield Family of Schools,Bluefield High,2013,Grade 12,254
Bluefield Family of Schools,Bluefield High,2014,K,0
Bluefield Family of Schools,Bluefield High,2014,Grade 1,0
Bluefield Family of Schools,Bluefield High,2014,Grade 2,0
Bluefield Family of Schools,Bluefield High,2014,Grade 3,0
Bluefield Family of Schools,Bluefield High,2014,Grade 4,0
Bluefield Family of Schools,Bluefield High,2014,Grade 5,0
Bluefield Family of Schools,Bluefield High,2014,Grade 6,0
Bluefield Family of Schools,Bluefield High,2014,Grade 7,0
Bluefield Family of Schools,Bluefield High,2014,Grade 8,0
